"","points2022$site_id","ag_100","ag_224","ag_500","em_100","em_224","em_500","palus_100","palus_224","palus_500","scrub_100","scrub_224","scrub_500","openwat_100","openwat_224","openwat_500","woody_100","woody_224","woody_500","artfl_100","artfl_224","artfl_500","semi_500","semi_224","semi_100","excav_100","excav_224","excav_500","dev_100","dev_224","dev_500"
"1","Bogota_A1",100,94.6601941747573,96.0596379126731,0,0,0,100,100,98.2960596379127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33980582524272,3.94036208732694
"2","Bogota_A2",100,95.5445544554455,96.2805526036132,0,0,0,100,100,96.2805526036132,0,0,0,0,0,0,0,0,0.212539851222104,0,0,0,0.754716981132076,0,0,0,0,0,0,4.45544554455445,3.50690754516472
"3","Bogota_A3",100,89.9038461538462,79.1889007470651,0,0,0.106723585912487,100,100,100,0,0,0,0,0,0,0,7.21153846153846,20.0640341515475,0,0,0,0,0,0,0,0,0,0,0,0
"4","Gooch_A1",0,0,13.4328358208955,30,21.1538461538462,8.10234541577825,20,34.6153846153846,42.6439232409382,0,0,0,0,0,1.59914712153518,100,100,83.3688699360341,0,0,0,14.3396226415094,13.4453781512605,0,0,0,0,0,0,1.59914712153518
"5","Gooch_A2",0,3.90243902439024,23.541887592789,26.530612244898,28.780487804878,28.4199363732768,100,100,84.729586426299,0,0,0,4.08163265306122,0.975609756097561,1.06044538706257,95.9183673469388,95.1219512195122,75.3976670201485,0,0,0,13.9622641509434,31.0924369747899,22.2222222222222,0,0,0,0,0,0
"6","Gooch_A3",0,0,0,59.1836734693878,61.1650485436893,55.9447983014862,100,100,100,0,0,0,0,7.28155339805825,21.8683651804671,100,92.7184466019417,78.1316348195329,0,0,0,0,0,0,0,0,0,0,0,0
"7","Hatchie_A1",2.04081632653061,4.43349753694581,9.62962962962963,36.734693877551,16.7487684729064,10.1587301587302,100,100,100,0,0,0,2.04081632653061,13.7931034482759,28.1481481481481,83.6734693877551,74.384236453202,60.3174603174603,0,0,0,0,0,0,0,0,0,0,0.985221674876847,0.317460317460317
"8","Hatchie_B1",0,0,0,0,0,0.212539851222104,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0
"9","Hatchie_C1",6.66666666666667,18.0487804878049,28.6016949152542,22.2222222222222,24.390243902439,7.41525423728813,100,100,100,0,0,0,0,0,0.529661016949152,93.3333333333333,81.9512195121951,70.8686440677966,0,0,0,0,0,0,0,0,0,0,0,0
"10","Hatchie_D1",0,4.90196078431373,3.60169491525424,48.8888888888889,19.6078431372549,9.42796610169492,100,100,100,0,0,0,0,1.96078431372549,3.8135593220339,100,86.7647058823529,88.135593220339,0,0,0,0,0,0,0,0,0,0,6.37254901960784,4.34322033898305
"11","Hatchie_D2",0,0,2.55047821466525,5.88235294117647,4.78468899521531,7.33262486716259,100,100,100,0,0,0,9.80392156862745,2.87081339712919,0.637619553666312,90.1960784313726,97.1291866028708,94.5802337938363,0,0,0,0,0,0,0,0,0,0,0,2.23166843783209
"12","LakeIsom_A1",0,0,1.81623931623932,51.9230769230769,26.2135922330097,14.6367521367521,100,100,100,0,0,0,19.2307692307692,30.5825242718447,17.2008547008547,67.3076923076923,38.3495145631068,54.7008547008547,0,0,0,0,0,0,0,0,0,0,0,0
"13","LakeIsom_A2",0,0,11.8895966029724,10.2040816326531,19.3236714975845,13.0573248407643,100,100,100,0,0,0,0,10.1449275362319,8.81104033970276,44.8979591836735,49.7584541062802,52.3354564755839,0,0,0,0,0,0,0,0,0,0,0,0
"14","LakeIsom_A3",0,0,1.81430096051227,22,16.0194174757282,7.79082177161153,100,100,100,0,0,0,32,17.9611650485437,9.6051227321238,40,58.7378640776699,72.145144076841,0,0,0,0,0,0,0,0,0,0,0,0
"15","LowerHatchie_A1",89.7959183673469,83.9805825242718,82.3779193205945,8.16326530612245,7.28155339805825,1.91082802547771,38.7755102040816,53.8834951456311,65.0743099787686,0,0,0,2.04081632653061,7.28155339805825,2.12314225053079,8.16326530612245,8.7378640776699,15.4989384288747,0,0,0,0,0,0,0,0,0,0,0,0
"16","LowerHatchie_A2",100,78.4688995215311,47.3347547974414,0,0.956937799043062,0.213219616204691,100,100,100,0,0,0,0,0,0.106609808102345,0,21.5311004784689,52.5586353944563,0,0,0,0,0,0,0,0,0,0,0,0
"17","LowerHatchie_A3",100,76.9230769230769,47.0149253731343,0,0.961538461538462,0.213219616204691,100,100,100,0,0,0,0,0,0,0,23.0769230769231,44.456289978678,0,0,0,0.377358490566038,0.840336134453782,1.85185185185185,0,0,0,0,0,2.77185501066098
"18","ParkerBranch_B1",88,58.1730769230769,46.3752665245203,0,4.80769230769231,5.65031982942431,100,100,97.6545842217484,0,0,0,0,0,0,12,41.8269230769231,52.6652452025586,0,0,0,0,0,0,0,0,0,0,0,0.106609808102345
"19","Parkerbranch_A1",0,6.93069306930693,25.6110520722636,0,0,4.67587672688629,100,100,100,0,0,2.7027027027027,0,0,0.106269925611052,100,93.0693069306931,73.432518597237,0,0,0,0,0,0,0,0,2.7027027027027,0,0,0
"20","Reelfoot_A1",0,0,0,22,12.9807692307692,5.01600853788687,100,100,100,0,0,0,2,3.36538461538462,8.64461045891142,96,96.1538461538462,91.2486659551761,0,0,0,8.30188679245283,0,0,0,0,0,2,0.480769230769231,0.106723585912487
"21","Reelfoot_A2",0,0,0.638977635782748,0,1.48514851485149,6.38977635782748,100,100,100,0,0,0,0,0,3.3013844515442,100,100,95.9531416400426,0,0,0,50.9433962264151,52.1008403361345,53.7037037037037,0,0,0,0,0,0.106496272630458
"22","Reelfoot_A3",0,0,0,8.16326530612245,6.69856459330144,4.58422174840085,100,100,100,0,0,0,36.734693877551,37.799043062201,20.8955223880597,63.265306122449,62.200956937799,78.9978678038379,0,0,0,18.8679245283019,0,0,0,0,0,0,0,0.106609808102345
"23","Reelfoot_B1",0,0,2.23880597014925,20.4081632653061,14.3540669856459,7.0362473347548,8.16326530612245,27.7511961722488,39.3390191897655,0,0,0,10.2040816326531,22.0095693779904,34.5415778251599,87.7551020408163,75.1196172248804,62.046908315565,0,0,0,16.9811320754717,0,0,0,0,0,0,0,0
"24","Reelfoot_B2",0,0,0,28,27.4038461538462,15.7614483493078,100,100,87.7529286474973,0,0,0,0,0,4.25985090521832,98,97.5961538461538,94.888178913738,0,0,0,23.0188679245283,51.2605042016807,53.7037037037037,0,0,0,0,0,0
"25","Reelfoot_B3",0,0,0,32.6923076923077,19.7115384615385,9.45802337938363,100,100,100,0,0,0,5.76923076923077,1.44230769230769,0.318809776833156,90.3846153846154,95.6730769230769,98.6184909670563,0,0,0,15.8490566037736,0,0,0,0,0,0,0,0
"26","Reelfoot_C1",0,4.80769230769231,1.17395944503735,4,10.0961538461538,11.9530416221985,100,100,100,0,0,0,0,0,1.49413020277481,100,95.1923076923077,97.2251867662754,0,0,0,13.2075471698113,17.6470588235294,0,0,0,0,0,0,0
"27","Reelfoot_C2",0,0,0,0,0,2.76595744680851,100,100,100,0,0,0,0,0,0.957446808510638,100,100,99.0425531914894,0,0,0,13.2075471698113,1.68067226890756,0,0,0,0,0,0,0
